URL,Keyword,Status,timestamp
https://ikpartners.com/our-people/,digitalization,Not Found,2023-07-31 15:16:10
https://suncappart.com/role/senior-team/,value Creation,Not Found,2023-07-31 15:16:11
https://suncappart.com/role/senior-team/,growth equity,Not Found,2023-07-31 15:16:11
https://suncappart.com/role/senior-team/,digitalization,Not Found,2023-07-31 15:16:11
https://www.balderton.com/team/,value Creation,Not Found,2023-07-31 15:16:12
https://www.balderton.com/team/,growth equity,Not Found,2023-07-31 15:16:12
https://www.balderton.com/team/,digitalization,Not Found,2023-07-31 15:16:12
https://www.ridgemontep.com/about/?category=all,value Creation,Not Found,2023-07-31 15:16:13
https://www.ridgemontep.com/about/?category=all,growth equity,Found,2023-07-31 15:16:13
https://www.ridgemontep.com/about/?category=all,digitalization,Not Found,2023-07-31 15:16:13
https://www.foresightgroup.eu/about-us/people,value Creation,Not Found,2023-07-31 15:16:15
https://www.foresightgroup.eu/about-us/people,growth equity,Found,2023-07-31 15:16:15
https://www.foresightgroup.eu/about-us/people,digitalization,Not Found,2023-07-31 15:16:15
https://www.valorep.com/team,value Creation,Not Found,2023-07-31 15:16:17
https://www.valorep.com/team,growth equity,Not Found,2023-07-31 15:16:17
https://www.valorep.com/team,digitalization,Not Found,2023-07-31 15:16:17
https://www.oneequity.com/team,value Creation,Not Found,2023-07-31 15:16:18
https://www.oneequity.com/team,growth equity,Not Found,2023-07-31 15:16:18
https://www.oneequity.com/team,digitalization,Not Found,2023-07-31 15:16:18
https://alpineinvestors.com/teams/,value Creation,Not Found,2023-07-31 15:16:19
https://alpineinvestors.com/teams/,growth equity,Not Found,2023-07-31 15:16:19
https://alpineinvestors.com/teams/,digitalization,Not Found,2023-07-31 15:16:19
https://www.aquiline.com/team,value Creation,Not Found,2023-07-31 15:16:20
https://www.aquiline.com/team,growth equity,Not Found,2023-07-31 15:16:20
https://www.aquiline.com/team,digitalization,Not Found,2023-07-31 15:16:20
https://www.hggc.com/team,value Creation,Found,2023-07-31 15:16:21
https://www.hggc.com/team,growth equity,Not Found,2023-07-31 15:16:21
https://www.hggc.com/team,digitalization,Not Found,2023-07-31 15:16:21
https://montagu.com/team/,value Creation,Not Found,2023-07-31 15:16:23
https://montagu.com/team/,growth equity,Not Found,2023-07-31 15:16:23
https://montagu.com/team/,digitalization,Not Found,2023-07-31 15:16:23
https://www.growth.gs.com/homepage.html#team,value Creation,Found,2023-07-31 15:16:26
https://www.growth.gs.com/homepage.html#team,growth equity,Found,2023-07-31 15:16:26
https://www.growth.gs.com/homepage.html#team,digitalization,Found,2023-07-31 15:16:26
https://www.jmi.com/people/,value Creation,Found,2023-07-31 15:16:28
